acquired,parcel,handle,owner,address
tax,10940000850,11094000085,NORTHSIDE REGENERATION LLC,2224-2230 Warren St.
tax,10940002000,11094000200,NORTHSIDE REGENERATION LLC,2209 Benton St.
tax,10940002300,11094000230,NORTHSIDE RGENERATION LLC,2219 Benton St.
tax,10940002400,11094000240,NORTHSIDE REGENERATION LLC,2221 Benton St.
tax,10950001000,11095000100,NORTHSIDE REGENERATION LLC,2222 Benton St.
tax,10950001100,11095000110,NORTHSIDE REGENERATION LLC,2220 Benton St.
tax,10950001450,11095000145,NORTHSIDE REGENERATION LLC,2206 Benton St.
tax,23150001900,12315000190,NORTHSIDE REGENERATION LLC,2301-2303 Cass Av.
tax,23150002000,12315000200,NORTHSIDE REGENERATION LLC,2305-2307 Cass Av.
tax,23150002300,12315000230,NORTHSIDE REGENERATION LLC,2315 Cass Av.
tax,23150002900,12315000290,NORTHSIDE REGENERATION LLC,2407 Cass Av.
tax,23150003000,12315000300,NORTHSIDE REGENERATION LLC,2409-2411 Cass Av.
tax,23150003100,12315000310,NORTHSIDE REGENERATION LLC,2413-2415 Cass Av.
tax,23160000100,12316000010,NORTHSIDE REGENERATION LLC,1516-1530 N. Jefferson Av.
tax,23180000100,12318000010,NORTHSIDE REGENERATION LLC,2346-2348 Howard St.
tax,23180000800,12318000080,NORTHSIDE REGENERATION LLC,2324 Howard St.
tax,23180001310,12318000131,NORTHSIDE REGENERATION LLC,2312 Howard St.
tax,23180001350,12318000135,NORTHSIDE REGENERATION LLC,2308 Howard St.
tax,23180001400,12318000140,NORTHSIDE REGENERATION LLC,2306 Howard St.
tax,23190000400,12319000040,NORTHSIDE REGENERATION LLC,2238-2240 Howard St.
tax,23190000700,12319000070,NORTHSIDE REGENERATION LLC,2226 Howard St.
tax,23190002300,12319000230,NORTHSIDE REGENERATION LLC,2223 Mullanphy St.
tax,23190002350,12319000235,NORTHSIDE REGENERATION LLC,2225 Mullanphy St.
tax,23250001200,12325000120,NORTHSIDE REGENERATION LLC,2314 Madison St.
tax,23250001600,12325000160,NORTHSIDE REGENERATION LLC,2301-2303 Howard St.
tax,23250001700,12325000170,NORTSIDE REGENERATION LLC,2305 Howard St.
tax,23250001900,12325000190,NORTHSIDE REGENERATION LLC,2313 Howard St.
tax,23250002000,12325000200,NORTHSIDE REGENERATION LLC,2315 Howard St.
tax,23250002100,12325000210,NORTHSIDE REGENERATION LLC,2317 Howard St.
tax,23250002700,12325000270,NORTHSIDE REGENERATION LLC,2333 Howard St.
tax,23250003000,12325000300,NORTHSIDE REGENERATION LLC,1700 25Th St.
tax,23260000100,12326000010,NORTHSIDE REGENERATION LLC,2530 Madison St.
tax,23260000200,12326000020,NORTHSIDE REGENERATION LLC,2500-2524 Madison St.
tax,23270000900,12327000090,NORTHSIDE REGENERATION LLC,2503 Madison St.
tax,23270001100,12327000110,NORTHSIDE REGENERATION LLC,2513 Madison St.
